ticker,price,volume,avg volume,volume factor,change,overnight change,day change
ADT,12.63,23118684,4818582,3.7978189434153036,-6.305637982195844,-1.1,-5.27
ARLO,5.39,3968850,1313360,2.0219056465858563,13.47368421052631,3.45,12.53
AVID,9.25,1887881,603798,2.126676471270193,4.401805869074499,0.0,9.99
AQST,5.8,1217954,1029331,0.1832481485547409,1.9332161687170373,5.65,-3.51
AGQ,57.24,4951632,1113978,3.4449998114864027,15.519677093844612,0.18,13.87
BTI,33.88,6880519,1797154,2.828563940541545,1.315789473684225,0.33,1.38
BOOT,23.0,1296223,1048950,0.2357338290671624,16.455696202531644,13.19,3.46
CERC,2.9,2082683,632159,2.2945556418559256,5.839416058394149,1.05,5.51
CDLX,63.5,543088,716835,-0.24238074312777697,-10.80207894367186,-12.62,-0.08
CRTO,14.95,581232,517350,0.12347926935343578,4.545454545454535,5.13,-0.91
ENLC,2.82,1586913,3895028,-0.5925798222759888,13.253012048192756,11.46,2.02
EZPW,5.35,2092175,551587,2.7930099875450294,-5.47703180212015,-9.17,3.51
FUV,6.82,5960422,1124539,4.300324844225056,15.008431703204058,-5.54,22.17
FPAC,10.26,2851789,587881,3.8509630350360022,0.39138943248531455,0.0,0.29
GME,4.58,10351916,3247170,2.187980918769267,10.895883777239714,3.39,6.75
GLUU,8.78,8012106,4482806,0.7872970634910367,-12.983151635282464,-10.22,-0.2
KODK,14.49,65745860,11674934,4.631368879687028,-3.9124668435013255,0.62,-3.61
KNDI,8.63,14614165,4564715,2.2015503706145947,5.115712545676003,-0.92,7.0
LPSN,53.51,1922300,1195162,0.6084012041882189,19.68239767389845,15.77,2.12
LMNX,42.67,1214814,815409,0.4898216723141393,9.889260880762306,8.22,1.36
MNK,1.6,28393308,5063514,4.607431518901696,-30.131004366812228,-1.23,-28.32
MOS,15.6,13516528,4329868,2.1216951648410527,16.504854368932033,0.45,13.52
MVIS,2.67,24292470,26576450,-0.08593999574811534,24.186046511627907,5.12,27.0
NATI,36.09,2598419,533693,3.8687522601945314,1.5189873417721695,0.0,-1.39
NPTN,8.91,1336215,1168695,0.14333936570277103,-10.542168674698802,-10.45,1.22
NEWR,60.0,1474279,1080367,0.3646094336461591,-16.37630662020906,-18.37,2.9
NVTA,29.56,2759486,3010259,-0.0833061208354497,-9.04615384615385,-10.72,3.24
NVAX,171.0,4372275,9529404,-0.5411806446657105,9.26517571884984,8.8,0.83
PACB,4.1,796839,1240523,-0.3576588261563873,9.625668449197844,5.4,-0.51
QFIN,12.34,4969330,1260965,2.9408944736769063,4.664970313825282,1.48,8.57
QGEN,47.25,3630263,1148404,2.161137543930533,-2.6776519052523113,-0.51,-2.94
PRPL,25.7,3481565,1001812,2.475267814719728,3.2543190036159046,3.17,-4.78
PSLV,9.25,8806377,2752639,2.199248793612239,4.994324631101016,-0.64,5.68
PRPO,3.92,28346589,3305039,7.576778972956143,31.986531986531975,-1.26,25.24
RIGL,2.76,4358576,7305217,-0.4033611869435227,12.195121951219505,12.2,1.23
RGA,89.75,476923,930152,-0.4872633720080159,6.338862559241699,5.92,-0.41
RL,67.0,4376642,1245759,2.513233297933228,2.399510927708991,0.48,-4.36
SINT,2.82,55817657,8448304,5.606965966186823,4.444444444444431,-13.5,53.05
SRNE,13.98,163020697,38918992,3.1887183768788256,32.76353276353278,8.88,31.42
SQ,151.85,10068852,13528942,-0.25575466285538073,16.57454322124981,10.98,1.51
SUPV,3.18,3003463,754745,2.979440738262592,-13.114754098360656,0.0,-1.55
TRVN,2.84,32409377,3923818,7.2596534803602,-10.691823899371078,1.43,-4.76
UPWK,15.63,5046161,3107287,0.6239764785164679,-8.11287477954145,-10.74,4.1
VAPO,37.28,636105,683995,-0.07001513168955914,-29.48742197843767,-29.33,-0.36
VAR,174.5,3544966,870200,3.0737370719374857,0.49527758580972914,0.0,0.19
